#Sans éclaircies à 99ans
temps;Ddom;Dmoy
15;5.26703646667108;1.21562408705259
18;6.93972093711378;1.48095840807748
21;8.72323757366093;2.08587894564284
24;10.5501782880847;2.79736352483264
27;12.3830944028407;3.66537026679788
30;14.1964920428484;4.73272781826489
33;15.9724885406449;6.00902998088699
36;17.6975375550251;7.42966565771529
39;19.364950906467;8.9579898781102
42;20.9703780445526;10.5430396298223
45;22.5092861499168;12.1412203317907
48;23.9809202743499;13.7322684539118
51;25.3852998579828;15.2912795058714
54;26.7248530330844;16.8037956879169
57;28.0012563873862;18.2610764606597
60;29.2172478704903;19.6622277581555
63;30.3753502341918;20.9950562696247
66;31.4790581152912;22.2610704123762
69;32.5307175251705;23.4685529838166
72;33.5343682790727;24.5992631384507
75;34.4937281330782;25.6683903007456
78;35.4104162973423;26.6829647567418
81;36.2863554410278;27.6336276239909
84;37.1246341903448;28.5410638181867
87;37.9302792828548;29.4079282003862
90;38.7047884297951;30.2479683550189
93;39.4508224496724;31.0480870421161
96;40.1696547703029;31.8308487015659
99;40.8628016859346;32.5875681343706
